2025-07-22 17:05:18,499 - rfid_reader - DEBUG - Attempting to initialize RFID reader...
2025-07-22 17:05:18,575 - rfid_reader - DEBUG - [RFID Reader Initialized] Device is active.
2025-07-22 17:05:18,575 - rfid_reader - DEBUG - [RFID Reader Running] Reading loop started.
2025-07-22 17:05:18,575 - rfid_reader - DEBUG - RFID reader thread started successfully
2025-07-22 17:05:18,590 - rfid_reader - DEBUG - Tag sender thread started successfully
2025-07-22 17:05:51,292 - rfid_reader - DEBUG - Exiting application via system tray
2025-07-22 17:06:06,598 - rfid_reader - DEBUG - Attempting to initialize RFID reader...
2025-07-22 17:06:06,675 - rfid_reader - DEBUG - [RFID Reader Initialized] Device is active.
2025-07-22 17:06:06,675 - rfid_reader - DEBUG - [RFID Reader Running] Reading loop started.
2025-07-22 17:06:06,676 - rfid_reader - DEBUG - RFID reader thread started successfully
2025-07-22 17:06:06,690 - rfid_reader - DEBUG - Tag sender thread started successfully
2025-07-22 17:06:09,677 - rfid_reader - DEBUG - Opening credential UI via system tray
2025-07-22 17:06:46,170 - rfid_reader - DEBUG - UI closed without submitting credentials
2025-07-22 17:06:50,319 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:50,420 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:50,521 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:50,622 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:50,723 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:50,824 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:50,925 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:51,025 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:51,126 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:51,228 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:51,329 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:51,429 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:51,530 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:51,631 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:51,732 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:51,833 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:51,934 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:52,035 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:52,135 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:52,237 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:52,337 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:52,438 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:52,539 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:52,640 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:52,741 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:52,842 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:52,943 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:53,043 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:53,144 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:53,245 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:53,345 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:53,446 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:53,547 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:53,648 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:53,749 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:53,850 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:53,951 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:54,052 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:54,153 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:54,254 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:54,355 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:54,456 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:54,557 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:54,658 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:54,759 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:54,860 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:54,961 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:55,062 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:55,162 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:55,263 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:55,364 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:55,465 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:55,566 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:55,667 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:55,768 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:55,954 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:56,055 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:56,156 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:56,260 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:56,361 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:56,462 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:56,563 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:56,664 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:56,764 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:56,865 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:56,966 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:57,067 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:57,167 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:57,268 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:57,369 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:57,470 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:57,570 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:57,671 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:57,772 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:57,873 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:57,974 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:58,075 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:58,176 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:58,276 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:58,377 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:58,478 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:58,579 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:58,680 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:58,780 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:58,881 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:58,982 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:59,098 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:59,199 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:59,299 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:59,400 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:59,501 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:59,602 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:59,703 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:59,803 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:59,904 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:00,005 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:00,106 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:00,207 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:00,307 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:00,408 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:00,509 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:00,610 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:00,710 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:00,811 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:00,912 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:01,012 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:01,113 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:01,214 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:01,314 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:01,415 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:01,515 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:01,616 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:01,717 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:01,837 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:01,938 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:02,039 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:02,139 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:02,240 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:02,341 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:02,441 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:02,542 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:02,642 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:02,743 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:02,844 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:02,945 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:03,045 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:03,146 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:03,247 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:03,348 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:03,448 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:03,549 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:03,650 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:03,751 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:03,851 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:03,952 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:04,053 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:04,153 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:04,254 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:04,355 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:04,455 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:04,564 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:04,651 - rfid_reader - DEBUG - Opening credential UI via system tray
2025-07-22 17:07:04,778 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:04,879 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:04,980 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:05,080 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:05,181 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:05,282 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:05,382 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:05,483 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:05,583 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:05,684 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:05,785 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:05,886 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:05,987 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:06,088 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:06,189 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:06,290 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:06,391 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:06,492 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:06,592 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:06,693 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:06,794 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:06,895 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:06,995 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:07,096 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:07,197 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:07,298 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:07,398 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:07,499 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:07,600 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:07,700 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:07,801 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:07,902 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:08,002 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:08,103 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:08,204 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:08,305 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:08,406 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:08,506 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:08,607 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:08,708 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:08,809 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:08,909 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:09,010 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:09,111 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:09,212 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:09,312 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:09,413 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:09,514 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:09,615 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:09,716 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:09,817 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:09,918 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:10,019 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:10,120 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:10,220 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:10,321 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:10,421 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:10,522 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:10,623 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:10,724 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:10,825 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:10,925 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:11,026 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:11,127 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:11,227 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:11,328 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:11,428 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:11,529 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:11,630 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:11,730 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:11,831 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:11,932 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:12,032 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:12,133 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:12,234 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:12,334 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:12,436 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:12,536 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:12,637 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:12,738 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:12,838 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:12,939 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:13,040 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:13,140 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:13,241 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:13,342 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:13,442 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:13,543 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:13,644 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:13,744 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:07:13,845 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
